2022-06-13 10:05:27.104 [restartedMain] INFO  com.ginfon.main.GinFonSystemApplication-Starting GinFonSystemApplication on DESKTOP-HMJHOOG with PID 29388 (E:\shunfeng\JIKONG3.0\gf-scada\target\classes started by Administrator in E:\shunfeng\JIKONG3.0\gf-scada)
2022-06-13 10:13:25.443 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:13:30.444 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:13:35.433 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:13:40.437 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:13:45.436 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:13:50.444 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:13:55.444 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:14:00.439 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:14:05.440 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:14:10.436 [jiKongThread--9-3] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:14:15.434 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:14:20.432 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:14:25.441 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:14:30.431 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:14:35.438 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:14:40.443 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:14:45.441 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:14:50.440 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:14:55.444 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:15:00.436 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:15:05.442 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:15:10.438 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:15:15.440 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:15:20.444 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-13 10:15:25.434 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
