2022-06-10 14:27:30.688 [restartedMain] INFO  com.ginfon.main.GinFonSystemApplication-Starting GinFonSystemApplication on DESKTOP-HMJHOOG with PID 37016 (E:\shunfeng\JIKONG3.0\gf-scada\target\classes started by Administrator in E:\shunfeng\JIKONG3.0\gf-scada)
2022-06-10 15:47:59.372 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.372 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.373 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.373 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.373 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.373 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.375 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.375 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.375 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.376 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.376 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.376 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.376 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.376 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.377 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.377 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.377 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.377 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.377 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.377 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.378 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.378 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.378 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.378 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.378 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.378 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
2022-06-10 15:47:59.378 [jiKongThread--9-7] INFO  com.ginfon.scada.jikong.jikongThread-推送状态对象0个
